distance_km,weather_severity,road_type,cargo_weight_kg,driver_experience_yrs,departure_hour,is_delayed,season_fall,season_spring,season_summer,season_winter
0.13618157543391188,3,0,0.9137081879745537,0.5517241379310345,0.11764705882352938,0,0,0,1,0
0.5807743658210948,2,0,0.2245023599425405,0.5862068965517241,0.29411764705882354,0,0,1,0,0
0.3604806408544726,3,0,0.38615842396880773,0.0,0.411764705882353,0,0,1,0,0
0.14152202937249667,2,1,0.1574492099322799,0.6206896551724138,0.7647058823529411,0,0,1,0,0
0.09479305740987984,5,1,0.8689205828032013,0.7241379310344828,0.5294117647058822,1,0,0,1,0
0.9345794392523364,2,1,0.9206341063000205,0.9655172413793103,0.11764705882352938,1,0,0,0,1
0.0267022696929239,4,1,0.5997332238867228,0.24137931034482757,0.29411764705882354,0,0,1,0,0
0.8197596795727636,1,0,0.05325261645803406,0.06896551724137931,0.8235294117647058,0,0,0,0,1
0.16154873164218958,1,1,0.13769751693002258,0.8620689655172413,1.0,1,0,0,0,1
0.6221628838451267,5,0,0.6497024420274985,0.8275862068965517,0.7647058823529411,1,1,0,0,0
0.2857142857142857,4,0,0.13087420480197004,0.8620689655172413,0.5294117647058822,0,0,0,1,0
0.4405874499332443,3,0,0.09116560640262672,0.13793103448275862,0.8235294117647058,0,0,0,1,0
0.6114819759679573,4,1,0.6763800533552227,0.7586206896551724,0.1764705882352941,0,1,0,0,0
0.11615487316421896,1,1,0.8442950954237636,0.24137931034482757,0.05882352941176472,0,1,0,0,0
0.4966622162883845,1,0,0.2593371639647034,0.6206896551724138,0.11764705882352938,0,0,0,0,1
0.1321762349799733,4,0,0.9609583418838498,0.5862068965517241,0.35294117647058826,0,0,1,0,0
0.8851802403204272,4,1,0.9827108557356865,0.5862068965517241,0.8823529411764706,1,0,0,1,0
0.17356475300400534,1,0,0.11594500307818592,0.6896551724137931,0.5294117647058822,0,0,1,0,0
0.8825100133511348,3,1,0.5287297352760106,0.0,0.9411764705882353,1,0,1,0,0
0.4112149532710281,5,1,0.860558177713934,0.48275862068965514,0.23529411764705882,0,1,0,0,0
0.4579439252336448,5,0,0.8972911963882618,0.5862068965517241,0.7058823529411764,0,0,1,0,0
0.6555407209612817,4,0,0.26605786989534164,0.9655172413793103,0.7058823529411764,1,0,0,0,1
0.5514018691588785,5,1,0.4514672686230248,0.8275862068965517,0.588235294117647,1,1,0,0,0
0.514018691588785,1,1,0.2593371639647034,0.20689655172413793,0.588235294117647,1,0,1,0,0
0.2550066755674232,1,0,0.205007182433819,0.5172413793103449,0.8823529411764706,0,1,0,0,0
0.3684913217623498,4,1,0.4546480607428689,0.5172413793103449,0.8235294117647058,1,0,0,0,1
0.21361815754339117,4,0,0.18853888774882002,0.48275862068965514,0.9411764705882353,0,0,0,0,1
0.6128170894526034,4,0,0.2972501539092961,0.1724137931034483,1.0,0,0,1,0,0
0.417890520694259,3,1,0.7412271701210753,0.27586206896551724,0.1764705882352941,1,1,0,0,0
0.028037383177570097,5,1,0.32633901087625694,0.20689655172413793,0.23529411764705882,1,0,1,0,0
0.33644859813084116,4,0,0.4166324646008619,0.4482758620689655,0.35294117647058826,0,0,1,0,0
0.9973297730307075,2,1,0.4217114713728709,0.3448275862068966,0.05882352941176472,1,1,0,0,0
0.7476635514018691,2,0,0.7003899035501744,0.6896551724137931,0.0,0,0,1,0,0
0.6328437917222963,1,0,0.9122717012107531,0.5172413793103449,0.6470588235294117,1,0,0,0,1
0.07743658210947932,5,0,0.2087523086394418,0.8275862068965517,0.5294117647058822,0,1,0,0,0
0.6809078771695594,4,1,0.4517750872152678,0.1724137931034483,0.411764705882353,1,1,0,0,0
0.9092122830440587,2,0,0.14282782680073877,0.7241379310344828,0.0,1,1,0,0,0
0.6341789052069425,5,0,0.044531089677816535,0.896551724137931,0.6470588235294117,0,1,0,0,0
0.9332443257676902,1,0,0.21516519597783706,0.5172413793103449,0.05882352941176472,1,0,1,0,0
0.25233644859813087,3,1,0.6050687461522676,0.6551724137931034,0.5294117647058822,0,0,1,0,0
0.9158878504672897,5,1,0.14041658116150216,0.9655172413793103,0.9411764705882353,1,0,0,0,1
0.7503337783711616,5,1,0.04812230658731788,0.5172413793103449,0.11764705882352938,1,0,0,1,0
0.7556742323097463,3,0,0.017340447363020726,0.3793103448275862,0.35294117647058826,1,0,0,1,0
0.32443257676902537,5,1,0.21193310075928584,0.5517241379310345,0.6470588235294117,1,0,0,0,1
0.6728971962616822,1,0,0.8742561050687462,0.13793103448275862,0.411764705882353,0,0,0,1,0
0.17356475300400534,1,1,0.5244715780833162,0.896551724137931,0.6470588235294117,0,0,0,0,1
0.6461949265687583,3,1,0.5002052123948286,0.8275862068965517,0.11764705882352938,1,0,1,0,0
0.8624833110814418,4,0,0.1772522060332444,0.41379310344827586,0.9411764705882353,1,1,0,0,0
0.0267022696929239,2,1,0.5051303098707162,0.24137931034482757,0.4705882352941176,1,1,0,0,0
0.22162883845126838,4,0,0.9930740816745331,0.7931034482758621,0.5294117647058822,0,0,1,0,0
0.36448598130841126,5,0,0.47398932895546886,0.13793103448275862,0.29411764705882354,0,1,0,0,0
0.5166889185580774,2,0,0.023137697516930025,0.3793103448275862,0.0,0,1,0,0,0
0.8010680907877169,3,0,0.50759285860866,0.27586206896551724,0.6470588235294117,0,0,0,1,0
0.42056074766355134,3,0,0.5630002052123948,0.06896551724137931,0.23529411764705882,0,0,1,0,0
0.017356475300400534,2,1,0.8141801764826595,0.06896551724137931,0.7058823529411764,0,0,0,1,0
0.32176234979973295,1,0,0.041863328545044126,0.0,0.8235294117647058,0,0,0,1,0
0.4606141522029372,2,1,0.24964087830904988,0.8275862068965517,0.588235294117647,0,1,0,0,0
0.7530040053404539,5,0,0.8410630002052124,0.7241379310344828,0.411764705882353,1,1,0,0,0
0.45260347129506007,1,0,0.6243074081674533,0.5862068965517241,0.23529411764705882,0,0,1,0,0
0.12149532710280372,3,1,0.04709624461317463,0.7931034482758621,0.05882352941176472,0,1,0,0,0
0.4886515353805073,2,0,0.964498255694644,0.3793103448275862,0.6470588235294117,0,1,0,0,0
